"Economy","Law Name","Law Number / Ref","Last Amended","Indicator ID","Article / Section","Discovery Tag","Location Reference","Verbatim Snippet","Mapping Rationale","Source URL","Confidence","Notes","Pillar","RDTII_Raw_Score","Coverage"
"Australia","Privacy Impact Assessment 2020","","","P7-I4","APP 1.2; Section 33D(1)","","","","A Privacy Impact Assessment ('PIA') is contemplated by Australian privacy law but, apart from government agencies, is not mandated. However, arguably a PIA is, if not required, highly recommended to fulfil one's obligations under APP 1.2. The guidance and recommendations of the OAIC are that a PIA should be used for any new, changed/varied or altered process, method, or technology used that processes any personal information. In addition, the OAIC may, in writing, direct an agency to conduct a PIA, within a specified period if an agency proposes to engage in an activity or function involving the handling of personal information about individuals, and the OAIC considers that the activity or function might have a significant impact on the privacy of individual (Section 33D(1) of the Privacy Act).","https://www.oaic.gov.au/privacy/guidance-and-advice/privacy-management-framework-enabling-compliance-and-encouraging-good-practice/#step-1-embed-a-culture-of-privacy-that-enables-compliance","","BGK Timeframe: Since 2020","7","0","Horizontal"
"Australia","Data Availability and Transparency Act 2022","","October 2024","P7-I5","Article 104; Section 101; Section 45","","","","On 1 April 2022, the Data Availability and Transparency Act 2022 commenced, creating a new scheme for sharing Commonwealth Government data. Under the Act, authorised Commonwealth bodies can provide controlled access to public sector data to accredited users, being accredited state and federal government entities and public Australian universities, for specific purposes in the public interest. Specifically, under Article 104, if the Commissioner reasonably believes that a person has information or a document relevant to an investigation under section 101, or to any other of the Commissioner’s regulatory functions set out in section 45, the Commissioner may, by written notice given to the person, require the person to give the information, or produce the document, to the Commissioner within the period specified in the notice.","https://www.legislation.gov.au/C2022A00011/latest/text; https://www.datacommissioner.gov.au/law/dat-act","","BGK Timeframe: Since March 2022, last amended October 2024","7","1","Horizontal"
"Australia","Telecommunications (Interception and Access) Act 1979","","October 2024","P7-I5","","","","","The Telecommunications (Interception and Access) Act 1979 allows law enforcement to intercept user communications, even without a warrant in emergencies or for capability testing. It details various warrants like interception (Section 10) and stored communications (Section 110). The Telecommunications and Other Legislation Amendment (Assistance and Access) Act 2018 provides industry assistance powers, ensuring cooperation with executing these warrants. However, Section 317ZH states these powers are void if they'd require a warrant under other mentioned acts. The Telecommunications Legislation Amendment (International Production Orders) Act 2020 permits the government to retrieve encrypted data from foreign companies. The Telecommunications Regulations 2021 enables cooperation between telecommunications providers, financial institutions and state agencies to reduce cyber risks, including via personal information sharing.

The Telecommunications Act 1997, as amended in 2018, provides for three types of requests or notices that the government and certain security and law enforcement agencies can issue to communications providers","https://www.legislation.gov.au/C2004A02124/; https://www.legislation.gov.au/Details/C2021C00496; https://www.legislation.gov.au/Details/C2021A00078; https://www.legislation.gov.au/Details/C2023C00106; https://www.legislation.gov.au/F2021L00289; https://www.legislation.gov.au/C2004A05145","","BGK Timeframe: Since October 1979, last amended in October 2024","7","1","Telecommunications services"
"Australia","Telecommunications and Other Legislation Amendment (Assistance and Access) Act 2018","","September 2021","P7-I5","Section 10; Section 110; Section 317ZH","","","","The Telecommunications (Interception and Access) Act 1979 allows law enforcement to intercept user communications, even without a warrant in emergencies or for capability testing. It details various warrants like interception (Section 10) and stored communications (Section 110). The Telecommunications and Other Legislation Amendment (Assistance and Access) Act 2018 provides industry assistance powers, ensuring cooperation with executing these warrants. However, Section 317ZH states these powers are void if they'd require a warrant under other mentioned acts. The Telecommunications Legislation Amendment (International Production Orders) Act 2020 permits the government to retrieve encrypted data from foreign companies. The Telecommunications Regulations 2021 enables cooperation between telecommunications providers, financial institutions and state agencies to reduce cyber risks, including via personal information sharing.

The Telecommunications Act 1997, as amended in 2018, provides for three types of requests or notices that the government and certain security and law enforcement agencies can issue to communications providers","https://www.legislation.gov.au/C2004A02124/; https://www.legislation.gov.au/Details/C2021C00496; https://www.legislation.gov.au/Details/C2021A00078; https://www.legislation.gov.au/Details/C2023C00106; https://www.legislation.gov.au/F2021L00289; https://www.legislation.gov.au/C2004A05145","","BGK Timeframe: Since December 2018, last amended in September 2021","7","1","Telecommunications services"
"Australia","Telecommunications Legislation Amendment (International Production Orders) Act 2021","","","P7-I5","","","","","The Telecommunications (Interception and Access) Act 1979 allows law enforcement to intercept user communications, even without a warrant in emergencies or for capability testing. It details various warrants like interception (Section 10) and stored communications (Section 110). The Telecommunications and Other Legislation Amendment (Assistance and Access) Act 2018 provides industry assistance powers, ensuring cooperation with executing these warrants. However, Section 317ZH states these powers are void if they'd require a warrant under other mentioned acts. The Telecommunications Legislation Amendment (International Production Orders) Act 2020 permits the government to retrieve encrypted data from foreign companies. The Telecommunications Regulations 2021 enables cooperation between telecommunications providers, financial institutions and state agencies to reduce cyber risks, including via personal information sharing.

The Telecommunications Act 1997, as amended in 2018, provides for three types of requests or notices that the government and certain security and law enforcement agencies can issue to communications providers","https://www.legislation.gov.au/C2004A02124/; https://www.legislation.gov.au/Details/C2021C00496; https://www.legislation.gov.au/Details/C2021A00078; https://www.legislation.gov.au/Details/C2023C00106; https://www.legislation.gov.au/F2021L00289; https://www.legislation.gov.au/C2004A05145","","BGK Timeframe: Since July 2021","7","1","Telecommunications services"
"Australia","Telecommunications Regulations 2021","","October 2024","P7-I5","","","","","The Telecommunications (Interception and Access) Act 1979 allows law enforcement to intercept user communications, even without a warrant in emergencies or for capability testing. It details various warrants like interception (Section 10) and stored communications (Section 110). The Telecommunications and Other Legislation Amendment (Assistance and Access) Act 2018 provides industry assistance powers, ensuring cooperation with executing these warrants. However, Section 317ZH states these powers are void if they'd require a warrant under other mentioned acts. The Telecommunications Legislation Amendment (International Production Orders) Act 2020 permits the government to retrieve encrypted data from foreign companies. The Telecommunications Regulations 2021 enables cooperation between telecommunications providers, financial institutions and state agencies to reduce cyber risks, including via personal information sharing.

The Telecommunications Act 1997, as amended in 2018, provides for three types of requests or notices that the government and certain security and law enforcement agencies can issue to communications providers","https://www.legislation.gov.au/C2004A02124/; https://www.legislation.gov.au/Details/C2021C00496; https://www.legislation.gov.au/Details/C2021A00078; https://www.legislation.gov.au/Details/C2023C00106; https://www.legislation.gov.au/F2021L00289; https://www.legislation.gov.au/C2004A05145","","BGK Timeframe: Since March 2021, last amended in October 2024","7","1","Telecommunications services"
"Australia","Telecommunications Act 1997","","October 2024","P7-I5","","","","","The Telecommunications (Interception and Access) Act 1979 allows law enforcement to intercept user communications, even without a warrant in emergencies or for capability testing. It details various warrants like interception (Section 10) and stored communications (Section 110). The Telecommunications and Other Legislation Amendment (Assistance and Access) Act 2018 provides industry assistance powers, ensuring cooperation with executing these warrants. However, Section 317ZH states these powers are void if they'd require a warrant under other mentioned acts. The Telecommunications Legislation Amendment (International Production Orders) Act 2020 permits the government to retrieve encrypted data from foreign companies. The Telecommunications Regulations 2021 enables cooperation between telecommunications providers, financial institutions and state agencies to reduce cyber risks, including via personal information sharing.

The Telecommunications Act 1997, as amended in 2018, provides for three types of requests or notices that the government and certain security and law enforcement agencies can issue to communications providers","https://www.legislation.gov.au/C2004A02124/; https://www.legislation.gov.au/Details/C2021C00496; https://www.legislation.gov.au/Details/C2021A00078; https://www.legislation.gov.au/Details/C2023C00106; https://www.legislation.gov.au/F2021L00289; https://www.legislation.gov.au/C2004A05145","","BGK Timeframe: Since April 1997, last amended in October 2024","7","1","Telecommunications services"
"Australia","Australian Security Intelligence Organisation Act 1979","","October 2024","P7-I5","Section 25A","","","","The Australian Security Intelligence Act 1979 includes a computer access warrant (Section 25A) permitting the use of telecom facilities to access relevant data

The Surveillance Legislation Amendment (Identify and Disrupt) Act extends the nation's surveillance capabilities, to disrupt data (Section 6), takeover data (Schedule 3) and monitor network activity (Schedule 2).

The Data Availability and Transparency Bill allows governmental authorities to distribute personal data across its agencies.","https://www.legislation.gov.au/C2004A02123","","BGK Timeframe: Since October 1979, last amended in October 2024","7","1","Horizontal"
"Australia","Surveillance Legislation Amendment (Identify and Disrupt) Act 2021","","","P7-I5","","","","","The Australian Security Intelligence Act 1979 includes a computer access warrant (Section 25A) permitting the use of telecom facilities to access relevant data

The Surveillance Legislation Amendment (Identify and Disrupt) Act extends the nation's surveillance capabilities, to disrupt data (Section 6), takeover data (Schedule 3) and monitor network activity (Schedule 2).

The Data Availability and Transparency Bill allows governmental authorities to distribute personal data across its agencies.","https://www.legislation.gov.au/Details/C2021A00098","","BGK Timeframe: Since September 2021","7","1","Horizontal"
"Australia","Data Availability and Transparency Act 2022","","October 2024","P7-I5","Section 6; Schedule 3; Schedule 2","","","","The Australian Security Intelligence Act 1979 includes a computer access warrant (Section 25A) permitting the use of telecom facilities to access relevant data

The Surveillance Legislation Amendment (Identify and Disrupt) Act extends the nation's surveillance capabilities, to disrupt data (Section 6), takeover data (Schedule 3) and monitor network activity (Schedule 2).

The Data Availability and Transparency Bill allows governmental authorities to distribute personal data across its agencies.","https://www.legislation.gov.au/C2022A00011","","BGK Timeframe: Since March 2022, last amended in October 2024","7","1","Horizontal"
"Malaysia","Personal Data Protection Act (Act 709) 2010","","2024","P6-I1","Section 6; Section 9; Section 129","","","","The Personal Data Protection Act (Act 709) 2010 (PDPA) prohibits the transfer of personal data out of Malaysia unless such transfer is to a country, which has been specified and recorded in the Official Gazette by the Minister. Currently, no countries have been specified officially. Notwithstanding the prohibition on transfers of personal data out of the country, the PDPA sets out a number of exceptions to the prohibition, such as where the consent of the data subject has been obtained for such transfer and where the transfer is necessary for the performance of a contract between the parties. When in doubt as to whether the exemptions on data transfer apply, the prudent approach would be to obtain consent from the data subject in respect of such out of Malaysia transfer. In relation to outsourcing, a data user is not allowed to share data with third parties unless the consent of the individual has been obtained.

The PDPA applies broadly across sectors to regulate the processing of personal data for commercial transactions. Any personal data processed in Malaysia must adhere to PDPA standards, including specific security and privacy principles. Section 6 requires that personal data should not be processed unless the data subject consents, or it is necessary for specific legal reasons. The Security Principle in Section 9 enforces practical steps to protect personal data from unauthorized or accidental access during processing, which aligns with local data storage requirements. Section 129 of the PDPA mentions restrictions on transferring personal data to places outside Malaysia unless the destination has data protection laws or the transfer meets specific conditions.

The Personal Data Protection Code of Practice for the Banking and Financial Sector 2017 mandates that personal data be processed according to PDPA principles. Specific rules about data transfer abroad are mentioned in the document, limiting cross-border data transfers without compliance. Similar requirements for the Communications Sector are set out in the Code of Practice for Licensees Under the Communications and Multimedia Act 1998, especially for network and service providers. Both banking and communications sectors mention compliance with the Data Transfer Abroad clause, ensuring that any cross-border data transfer adheres to Malaysia’s data protection standards duscussed in other relevant subpillars.","https://mohre.um.edu.my/img/files/Personal%20Data%20Protection%20(PDPA)%20Act%202010.pdf","","BGK Timeframe: Since November 2013, last amended in 2024 | BGK Note: The 2024 amendments to Malaysia’s Personal Data Protection Act (PDPA) introduce important changes aimed at strengthening data governance and aligning Malaysia’s privacy laws with international standards, such as the EU’s GDPR. A key feature of the amendments is the mandatory breach notification, requiring organizations to report data breaches to the Personal Data Protection Commissioner within 72 hours of detection. This is a significant shift towards greater transparency and accountability in data management.

In addition, the amendments expand the scope of responsibility to data processors, not just data controllers, holding both parties accountable for the protection and handling of personal data. Another critical update is the requirement for both controllers and processors to appoint Data Protection Officers (DPOs), reinforcing organizational responsibility for privacy practices.

The revisions also introduce stricter controls on cross-border data transfers, requiring organizations to conduct a thorough assessment of the receiving country’s data protection standards before transferring data internationally. This ensures that personal data sent abroad is subject to equivalent protections. The amendments significantly increase penalties for non-compliance, raising fines up to 1 million MYR and extending possible imprisonment terms to three years. The Personal Data Protection Commissioner is also granted broader powers to conduct proactive audits to ensure compliance.

Additionally, biometric data is now classified as sensitive personal data, warranting additional safeguards. These changes position Malaysia as a more attractive destination for foreign businesses, particularly in industries that handle significant volumes of data, such as data centers and digital operations","6","0","Horizontal"
"Malaysia","Personal Data Protection (Amendment) Bill (Act A1727) 2024","","","P6-I1","","","","","The Personal Data Protection Act (Act 709) 2010 (PDPA) prohibits the transfer of personal data out of Malaysia unless such transfer is to a country, which has been specified and recorded in the Official Gazette by the Minister. Currently, no countries have been specified officially. Notwithstanding the prohibition on transfers of personal data out of the country, the PDPA sets out a number of exceptions to the prohibition, such as where the consent of the data subject has been obtained for such transfer and where the transfer is necessary for the performance of a contract between the parties. When in doubt as to whether the exemptions on data transfer apply, the prudent approach would be to obtain consent from the data subject in respect of such out of Malaysia transfer. In relation to outsourcing, a data user is not allowed to share data with third parties unless the consent of the individual has been obtained.

The PDPA applies broadly across sectors to regulate the processing of personal data for commercial transactions. Any personal data processed in Malaysia must adhere to PDPA standards, including specific security and privacy principles. Section 6 requires that personal data should not be processed unless the data subject consents, or it is necessary for specific legal reasons. The Security Principle in Section 9 enforces practical steps to protect personal data from unauthorized or accidental access during processing, which aligns with local data storage requirements. Section 129 of the PDPA mentions restrictions on transferring personal data to places outside Malaysia unless the destination has data protection laws or the transfer meets specific conditions.

The Personal Data Protection Code of Practice for the Banking and Financial Sector 2017 mandates that personal data be processed according to PDPA principles. Specific rules about data transfer abroad are mentioned in the document, limiting cross-border data transfers without compliance. Similar requirements for the Communications Sector are set out in the Code of Practice for Licensees Under the Communications and Multimedia Act 1998, especially for network and service providers. Both banking and communications sectors mention compliance with the Data Transfer Abroad clause, ensuring that any cross-border data transfer adheres to Malaysia’s data protection standards duscussed in other relevant subpillars.","https://f.datasrvr.com/fr1/224/81715/DR_21_BI.pdf","","BGK Timeframe: Since July 2024 | BGK Note: The 2024 amendments to Malaysia’s Personal Data Protection Act (PDPA) introduce important changes aimed at strengthening data governance and aligning Malaysia’s privacy laws with international standards, such as the EU’s GDPR. A key feature of the amendments is the mandatory breach notification, requiring organizations to report data breaches to the Personal Data Protection Commissioner within 72 hours of detection. This is a significant shift towards greater transparency and accountability in data management.

In addition, the amendments expand the scope of responsibility to data processors, not just data controllers, holding both parties accountable for the protection and handling of personal data. Another critical update is the requirement for both controllers and processors to appoint Data Protection Officers (DPOs), reinforcing organizational responsibility for privacy practices.

The revisions also introduce stricter controls on cross-border data transfers, requiring organizations to conduct a thorough assessment of the receiving country’s data protection standards before transferring data internationally. This ensures that personal data sent abroad is subject to equivalent protections. The amendments significantly increase penalties for non-compliance, raising fines up to 1 million MYR and extending possible imprisonment terms to three years. The Personal Data Protection Commissioner is also granted broader powers to conduct proactive audits to ensure compliance.

Additionally, biometric data is now classified as sensitive personal data, warranting additional safeguards. These changes position Malaysia as a more attractive destination for foreign businesses, particularly in industries that handle significant volumes of data, such as data centers and digital operations","6","0","Horizontal"
"Malaysia","Personal Data Protection Code of Practice For Banking Sector And Financial Institutions 2017","","","P6-I1","","","","","The Personal Data Protection Act (Act 709) 2010 (PDPA) prohibits the transfer of personal data out of Malaysia unless such transfer is to a country, which has been specified and recorded in the Official Gazette by the Minister. Currently, no countries have been specified officially. Notwithstanding the prohibition on transfers of personal data out of the country, the PDPA sets out a number of exceptions to the prohibition, such as where the consent of the data subject has been obtained for such transfer and where the transfer is necessary for the performance of a contract between the parties. When in doubt as to whether the exemptions on data transfer apply, the prudent approach would be to obtain consent from the data subject in respect of such out of Malaysia transfer. In relation to outsourcing, a data user is not allowed to share data with third parties unless the consent of the individual has been obtained.

The PDPA applies broadly across sectors to regulate the processing of personal data for commercial transactions. Any personal data processed in Malaysia must adhere to PDPA standards, including specific security and privacy principles. Section 6 requires that personal data should not be processed unless the data subject consents, or it is necessary for specific legal reasons. The Security Principle in Section 9 enforces practical steps to protect personal data from unauthorized or accidental access during processing, which aligns with local data storage requirements. Section 129 of the PDPA mentions restrictions on transferring personal data to places outside Malaysia unless the destination has data protection laws or the transfer meets specific conditions.

The Personal Data Protection Code of Practice for the Banking and Financial Sector 2017 mandates that personal data be processed according to PDPA principles. Specific rules about data transfer abroad are mentioned in the document, limiting cross-border data transfers without compliance. Similar requirements for the Communications Sector are set out in the Code of Practice for Licensees Under the Communications and Multimedia Act 1998, especially for network and service providers. Both banking and communications sectors mention compliance with the Data Transfer Abroad clause, ensuring that any cross-border data transfer adheres to Malaysia’s data protection standards duscussed in other relevant subpillars.","https://www.pdp.gov.my/ppdpv1/en/akta/personal-data-protection-code-of-practice-for-banking-sector-and-financial-institutions/","","BGK Timeframe: Since January 2017 | BGK Note: The 2024 amendments to Malaysia’s Personal Data Protection Act (PDPA) introduce important changes aimed at strengthening data governance and aligning Malaysia’s privacy laws with international standards, such as the EU’s GDPR. A key feature of the amendments is the mandatory breach notification, requiring organizations to report data breaches to the Personal Data Protection Commissioner within 72 hours of detection. This is a significant shift towards greater transparency and accountability in data management.

In addition, the amendments expand the scope of responsibility to data processors, not just data controllers, holding both parties accountable for the protection and handling of personal data. Another critical update is the requirement for both controllers and processors to appoint Data Protection Officers (DPOs), reinforcing organizational responsibility for privacy practices.

The revisions also introduce stricter controls on cross-border data transfers, requiring organizations to conduct a thorough assessment of the receiving country’s data protection standards before transferring data internationally. This ensures that personal data sent abroad is subject to equivalent protections. The amendments significantly increase penalties for non-compliance, raising fines up to 1 million MYR and extending possible imprisonment terms to three years. The Personal Data Protection Commissioner is also granted broader powers to conduct proactive audits to ensure compliance.

Additionally, biometric data is now classified as sensitive personal data, warranting additional safeguards. These changes position Malaysia as a more attractive destination for foreign businesses, particularly in industries that handle significant volumes of data, such as data centers and digital operations","6","0","Horizontal"
"Malaysia","Personal Data Protection Act (Act 709) 2010","","2024","P6-I2","","","","","Malaysia currently does not have a strict data localization law that mandates all personal data to be stored exclusively within the country. However, the Personal Data Protection Act (Act 709) 2010 includes provisions that regulate cross-border data transfers, requiring that personal data can only be transferred out of Malaysia if the recipient country provides an adequate level of data protection. This means that while data can be stored and processed abroad, certain safeguards must be in place to protect personal data.

For certain sectors, like banking and finance, there are sector-specific guidelines (e.g., the Banking and Financial Sector Code of Practice) that impose more stringent conditions on data transfers and suggest that local processing is preferable to ensure compliance with security and privacy standards. These requirements do not constitute a blanket local storage mandate but make local storage a practical solution for ensuring compliance with security obligations, especially for sensitive data.","https://mohre.um.edu.my/img/files/Personal%20Data%20Protection%20(PDPA)%20Act%202010.pdf","","BGK Timeframe: Since November 2013, last amended in 2024","6","0","Horizontal"
"Malaysia","Personal Data Protection (Amendment) Bill (Act A1727) 2024","","","P6-I2","","","","","Malaysia currently does not have a strict data localization law that mandates all personal data to be stored exclusively within the country. However, the Personal Data Protection Act (Act 709) 2010 includes provisions that regulate cross-border data transfers, requiring that personal data can only be transferred out of Malaysia if the recipient country provides an adequate level of data protection. This means that while data can be stored and processed abroad, certain safeguards must be in place to protect personal data.

For certain sectors, like banking and finance, there are sector-specific guidelines (e.g., the Banking and Financial Sector Code of Practice) that impose more stringent conditions on data transfers and suggest that local processing is preferable to ensure compliance with security and privacy standards. These requirements do not constitute a blanket local storage mandate but make local storage a practical solution for ensuring compliance with security obligations, especially for sensitive data.","https://www.pdp.gov.my/ppdpv1/en/akta/personal-data-protection-code-of-practice-for-banking-sector-and-financial-institutions/","","BGK Timeframe: Since July 2024","6","0","Horizontal"
"Malaysia","Personal Data Protection Code of Practice For Banking Sector And Financial Institutions 2017","","","P6-I2","","","","","Malaysia currently does not have a strict data localization law that mandates all personal data to be stored exclusively within the country. However, the Personal Data Protection Act (Act 709) 2010 includes provisions that regulate cross-border data transfers, requiring that personal data can only be transferred out of Malaysia if the recipient country provides an adequate level of data protection. This means that while data can be stored and processed abroad, certain safeguards must be in place to protect personal data.

For certain sectors, like banking and finance, there are sector-specific guidelines (e.g., the Banking and Financial Sector Code of Practice) that impose more stringent conditions on data transfers and suggest that local processing is preferable to ensure compliance with security and privacy standards. These requirements do not constitute a blanket local storage mandate but make local storage a practical solution for ensuring compliance with security obligations, especially for sensitive data.","https://www.pdp.gov.my/ppdpv1/en/akta/personal-data-protection-code-of-practice-for-banking-sector-and-financial-institutions/","","BGK Timeframe: Since January 2017","6","0","Horizontal"
